persona,story,id,cq,issues
Brendan,1_FindTraditionalMusic,CQ1,What tunes have similar geographic origin as tune X?,pass
Brendan,1_FindTraditionalMusic,CQ2,"What tunes are similar to tune X, given similarity measure Y?",pass
Brendan,1_FindTraditionalMusic,CQ3,"Given a set of tunes, from which collections are these tunes?",pass
Brendan,1_FindTraditionalMusic,CQ4,"Given a set of tunes, what tunes are from collection X?",pass
Brendan,1_FindTraditionalMusic,CQ5,What are the metadata for collection X?,pass
Laurent,1_MusicArchives,CQ1,"Can I search for a musical content by applying filters (genre, historical period ...)?",pass
Laurent,1_MusicArchives,CQ2,What types of resources can I find?,pass
Laurent,1_MusicArchives,CQ3,Is the music resource X complete or incomplete?,pass
Laurent,1_MusicArchives,CQ4,Is a dataset attached to resource X?,pass
Laurent,1_MusicArchives,CQ5,Can I add resources as a user?,pass
Laurent,1_MusicArchives,CQ6,How can I share what I find on the site?,pass
Andrea,1_Serendipity,CQ1,Can I find interesting materials without applying filters?,pass
Andrea,1_Serendipity,CQ2,What types of resources can I find?,pass
Andrea,1_Serendipity,CQ3,Is there a way of visualizing all the materials connected to my interests?,pass
Andrea,1_Serendipity,CQ4,Can I keep getting suggestions in real time?,pass
Andrea,1_Serendipity,CQ5,How can I share what I find on the site?,pass
Andrea,1_Serendipity,CQ6,How I personalize my navigation experience without knowing the filtering criteria or the materials' characteristics?,pass
Paul,1_OrganComparison,CQ1,Which are all organs at location X?,pass
Paul,1_OrganComparison,CQ2,Which are all organs in city X?,pass
Paul,1_OrganComparison,CQ3,"Which are all organs near to geographic coordinates x, y?",pass
Paul,1_OrganComparison,CQ4,Which are all organs that have stop X?,pass
Paul,1_OrganComparison,CQ5,Which are all organs with playing aid X?,pass
Paul,1_OrganComparison,CQ6,Which are all organs with more than X stops?,pass
Paul,1_OrganComparison,CQ7,Which are all organs with more than X keyboards?,pass
Paul,1_OrganComparison,CQ8,Which are all organs with manual range starting lower than X?,pass
Paul,1_OrganComparison,CQ9,Which are all organs with manual range ending higher than X?,pass
Paul,1_OrganComparison,CQ10,Which are all organs with pedal range starting lower than X?,pass
Paul,1_OrganComparison,CQ11,Which are all organs with pedal range ending higher than X?,pass
Paul,1_OrganComparison,CQ12,Which are all organs with wind system type X?,pass
Paul,1_OrganComparison,CQ13,Which are all organs with temperament X?,pass
Paul,1_OrganComparison,CQ14,Which are all organs with year of construction after X?,pass
Paul,1_OrganComparison,CQ15,Which are all organs with year of construction before X?,pass
Paul,1_OrganComparison,CQ16,Which are all organs built by organ builder X?,pass
Paul,1_OrganComparison,CQ17,Which are all organs which has been maintained or restored by builder X?,pass
Paul,1_OrganComparison,CQ18,Which are all organs that are linked to person X?,pass
Paul,1_OrganComparison,CQ19,Which are all organs with more than X bellows?,pass
Paul,1_OrganComparison,CQ20,Which are all organs with pitch heigher than X Hz?,pass
Paul,1_OrganComparison,CQ21,Which are all organs with wind pressure higher than X mm?,pass
Paul,1_OrganComparison,CQ22,Which are all organs with wind pressure lower than X mm?,pass
Paul,1_OrganComparison,CQ23,Which are all organs with key action type X?,pass
Paul,1_OrganComparison,CQ24,Which are all organs with stop action type X?,pass
Paul,1_OrganComparison,CQ25,Which are all organs with pitch lower than X Hz?,pass
Paul,1_OrganComparison,CQ26,Which are all organs with console location X?,pass
Paul,1_OrganComparison,CQ27,Which are all organs based on search term X?,pass
Paul,1_OrganComparison,CQ28,Who was the builder of organ X?,pass
Paul,1_OrganComparison,CQ29,What is the current location of organ X?,pass
Paul,1_OrganComparison,CQ30,What were previous locations of organ X?,pass
Paul,1_OrganComparison,CQ31,When have changes been made to organ X?,pass
Paul,1_OrganComparison,CQ32,What changes have been made to organ X?,pass
Paul,1_OrganComparison,CQ33,Why was change X made to organ Y?,pass
Paul,1_OrganComparison,CQ34,What is the current disposition of organ X?,pass
Paul,1_OrganComparison,CQ35,What is the composition of stop X in organ Y?,pass
Paul,1_OrganComparison,CQ36,Of which material is stop X made?,pass
Paul,1_OrganComparison,CQ37,Of which material is the case of organ X made?,pass
Paul,1_OrganComparison,CQ38,Which materials have been used to build organ X?,pass
Paul,1_OrganComparison,CQ39,What historic dispositions are known for organ X?,pass
Paul,1_OrganComparison,CQ40,What is the source for historic disposition X of organ Y?,pass
Paul,1_OrganComparison,CQ41,What is the current pitch of organ X?,pass
Paul,1_OrganComparison,CQ42,What is the current temperature of organ X?,pass
Paul,1_OrganComparison,CQ43,What is the current console location of organ X?,pass
Paul,1_OrganComparison,CQ44,What is the current wind system type of organ X?,pass
Paul,1_OrganComparison,CQ45,What is the current wind pressure of organ X?,pass
Paul,1_OrganComparison,CQ46,What are the characteristics of the case of organ X?,pass
Paul,1_OrganComparison,CQ47,What are decorative elements of the case of organ X?,pass
Paul,1_OrganComparison,CQ48,What are inscriptions on the case of organ X?,pass
Paul,1_OrganComparison,CQ49,What are the dispositions of all organs made by organ builder X?,pass
Paul,1_OrganComparison,CQ50,What are the sources for fact X?,pass
Paul,1_OrganComparison,CQ51,"Given organ X, what organs are similar according to similarity measure Y?",pass
Paul,1_OrganComparison,CQ52,What literature exists about organ X?,pass
Paul,1_OrganComparison,CQ53,What literature exists about organ builder X?,pass
Paul,1_OrganComparison,CQ54,What sources are available regarding the sound of organ X?,pass
Paul,1_OrganComparison,CQ55,Does organ X stil exist?,pass
Paul,1_OrganComparison,CQ56,When was organ X deconstructed?,pass
Paul,1_OrganComparison,CQ57,Why was organ X deconstructed?,pass
Paul,1_OrganComparison,CQ58,Which parts of deconstructed organ X are still in existence?,pass
Paul,1_OrganComparison,CQ59,Where are parts of deconstructed organ X currently located?,pass
Paul,1_OrganComparison,CQ60,Which components of organ X have been reused from other (earlier) organs?,pass
Paul,1_OrganComparison,CQ61,What is the origin of component X of organ Y?,pass
Paul,1_OrganComparison,CQ62,Which are all organs that have components made by organ builder X?,pass
Paul,2_ResourceReliability,CQ42,What are the sources for fact X?,pass
Anna,1_HearingMusic,CQ1,What is the rhythm of the bassline?,pass
Anna,1_HearingMusic,CQ2,What is the rhythm of the electronic drum kit?,pass
Carolina,1_SourcesCrossAnalysis,CQ1,Where was the musical composition X performed? *(musical performance)*,pass
Carolina,1_SourcesCrossAnalysis,CQ2,In which buildings was musical composition X performed? *(musical performance)*,pass
Carolina,1_SourcesCrossAnalysis,CQ3,Where was the musical composition X performed for the first time? *(musical performance)*,pass
Carolina,1_SourcesCrossAnalysis,CQ4,In which buildings was musical composition X performed for the first time? *(musical performance)*,pass
Carolina,1_SourcesCrossAnalysis,CQ5,"Which performers (musicians, singers) have performed musical composition X? *(musical performance)*",pass
Carolina,1_SourcesCrossAnalysis,CQ6,"Which performers (musicians, singers) have performed musical composition X for the first time? *(musical performance)*",pass
Carolina,1_SourcesCrossAnalysis,CQ7,In which scores is there evidence of musical composition X? *(evidence)*,pass
Carolina,1_SourcesCrossAnalysis,CQ8,In which historical documents is there evidence of musical composition X? *(evidence)*,pass
Carolina,1_SourcesCrossAnalysis,CQ9,In which bibliographic references is there evidence of musical composition X? *(evidence)*,pass
